group,problem_text,correct_answers,incorrect_options,level,point_value,result_text,status
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem1/question/new_question1.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem1/options/option1_1.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem1/options/option1_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem1/options/option1_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem1/options/option1_4.jpg" alt="" /></p>,A,B | C | D,1,1,<p><img src="images/trig-precalc/problems/problem1/options/option1_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem12/question/new_question12.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem12/options/option12_4.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem12/options/option12_1.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem12/options/option12_2.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem12/options/option12_1.jpg" alt="" /></p>,D,A | B | C,1,1,<p><img src="images/trig-precalc/problems/problem12/options/option12_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem13/question/new_question13.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem13/options/option13_2.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem13/options/option13_1.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem13/options/option13_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem13/options/option13_4.jpg" alt="" /></p>,B,A | C | D,1,1,<p><img src="images/trig-precalc/problems/problem13/options/option13_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem14/question/new_question14.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem14/options/option14_3.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem14/options/option14_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem14/options/option14_1.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem14/options/option14_4.jpg" alt="" /></p>,C,A | B | D,1,1,<p><img src="images/trig-precalc/problems/problem14/options/option14_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem15/question/question15.jpg" alt="" /></p><p>A:<img src="images/trig-precalc/problems/problem15/options/option15_4.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem15/options/option15_1.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem15/options/option15_2.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem15/options/option15_1.jpg" alt="" /></p>,D,A | B | C,1,1,<p><img src="images/trig-precalc/problems/problem15/options/option15_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem16/question/new_question16.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem16/options/option16_4.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem16/options/option16_1.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem16/options/option16_2.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem16/options/option16_1.jpg" alt="" /></p>,D,A | B | C,1,1,<p><img src="images/trig-precalc/problems/problem16/options/option16_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem17/question/new_question17.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem17/options/option17_3.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem17/options/option17_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem17/options/option17_1.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem17/options/option17_4.jpg" alt="" /></p>,C,A | B | D,1,1,<p><img src="images/trig-precalc/problems/problem17/options/option17_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem18/question/new_question18.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem18/options/option18_4.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem18/options/option18_1.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem18/options/option18_2.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem18/options/option18_1.jpg" alt="" /></p>,D,A | B | C,1,1,<p><img src="images/trig-precalc/problems/problem18/options/option18_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem19/question/new_question19.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem19/options/option19_1.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem19/options/option19_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem19/options/option19_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem19/options/option19_4.jpg" alt="" /></p>,A,B | C | D,1,1,<p><img src="images/trig-precalc/problems/problem19/options/option19_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem20/question/new_question20.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem20/options/option20_4.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem20/options/option20_1.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem20/options/option20_2.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem20/options/option20_1.jpg" alt="" /></p>,D,A | B | C,1,1,<p><img src="images/trig-precalc/problems/problem20/options/option20_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem21/question/new_question21.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem21/options/option21_1.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem21/options/option21_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem21/options/option21_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem21/options/option21_4.jpg" alt="" /></p>,A,B | C | D,1,1,<p><img src="images/trig-precalc/problems/problem21/options/option21_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem22/question/new_question22.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem22/options/option22_1.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem22/options/option22_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem22/options/option22_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem22/options/option22_4.jpg" alt="" /></p>,A,B | C | D,1,1,<p><img src="images/trig-precalc/problems/problem22/options/option22_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem23/question/new_question23.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem23/options/option23_1.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem23/options/option23_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem23/options/option23_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem23/options/option23_4.jpg" alt="" /></p>,A,B | C | D,1,1,<p><img src="images/trig-precalc/problems/problem23/options/option23_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem24/question/new_question24.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem24/options/option24_4.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem24/options/option24_1.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem24/options/option24_2.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem24/options/option24_1.jpg" alt="" /></p>,D,A | B | C,1,1,<p><img src="images/trig-precalc/problems/problem24/options/option24_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem25/question/new_question25.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem25/options/option25_1.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem25/options/option25_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem25/options/option25_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem25/options/option25_4.jpg" alt="" /></p>,A,B | C | D,1,1,<p><img src="images/trig-precalc/problems/problem25/options/option25_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem26/question/new_question26.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem26/options/option26_1.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem26/options/option26_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem26/options/option26_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem26/options/option26_4.jpg" alt="" /></p>,A,B | C | D,1,1,<p><img src="images/trig-precalc/problems/problem26/options/option26_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem27/question/new_question27.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem27/options/option27_4.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem27/options/option27_1.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem27/options/option27_2.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem27/options/option27_1.jpg" alt="" /></p>,D,A | B | C,1,1,<p><img src="images/trig-precalc/problems/problem27/options/option27_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem28/question/new_question28.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem28/options/option28_4.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem28/options/option28_1.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem28/options/option28_2.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem28/options/option28_1.jpg" alt="" /></p>,D,A | B | C,1,1,<p><img src="images/trig-precalc/problems/problem28/options/option28_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem29/question/new_question29.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem29/options/option29_2.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem29/options/option29_1.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem29/options/option29_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem29/options/option29_4.jpg" alt="" /></p>,B,A | C | D,1,1,<p><img src="images/trig-precalc/problems/problem29/options/option29_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem30/question/new_question30.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem30/options/option30_4.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem30/options/option30_1.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem30/options/option30_2.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem30/options/option30_1.jpg" alt="" /></p>,D,A | B | C,1,1,<p><img src="images/trig-precalc/problems/problem30/options/option30_1.jpg" alt="" /></p>,1
