"question category","question type","is correct","question/answer text","points","attempts","random","is feedback","correct feedback text","incorrect feedback text"
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem6/options/forQuiz/option6_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem6/options/forQuiz/option6_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem6/options/forQuiz/option6_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"trig-precalc","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem7/question/new_question7.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12006-trig-precalc"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12006-trig-precalc"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem7/options/forQuiz/option7_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem7/options/forQuiz/option7_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem7/options/forQuiz/option7_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem7/options/forQuiz/option7_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"trig-precalc","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem8/question/new_question8.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12007-trig-precalc"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12007-trig-precalc"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem8/options/forQuiz/option8_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem8/options/forQuiz/option8_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem8/options/forQuiz/option8_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem8/options/forQuiz/option8_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"trig-precalc","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem10/question/new_question10.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12009-trig-precalc"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12009-trig-precalc"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem10/options/forQuiz/option10_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem10/options/forQuiz/option10_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem10/options/forQuiz/option10_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem10/options/forQuiz/option10_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
